Gender,Age,Partner,Dependents,Tenure,Contract Type,Payment Method,Internet Service,Phone Service,Multiple Lines,TV,Streaming,Monthly Charges,Total Charges,Churn
Female,38,Yes,No,14,One year,Mailed check,Fiber optic,Yes,No,Yes,No,76.38,1068.1,No
Female,42,Yes,Yes,46,Two year,Credit card,Fiber optic,Yes,No,Yes,No,79.41,3671.56,No
Male,47,Yes,No,60,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,76.16,4608.89,No
Female,20,Yes,No,59,Two year,Electronic check,No,Yes,No,No,No,31.42,1879.47,No
Female,63,No,No,60,Two year,Mailed check,Fiber optic,Yes,Yes,Yes,No,78.59,4701.13,No
Male,24,Yes,Yes,58,One year,Electronic check,No,Yes,Yes,Yes,Yes,42.42,2465.54,No
Female,46,Yes,No,33,Month-to-month,Electronic check,DSL,No,No,No,No,53.86,1785.34,No
Male,58,Yes,No,3,Month-to-month,Mailed check,DSL,Yes,Yes,No,Yes,64.84,163.33,Yes
Male,22,Yes,No,69,Two year,Electronic check,Fiber optic,Yes,No,No,Yes,76.15,5236.92,No
Male,79,No,Yes,32,Two year,Credit card,No,No,No,No,Yes,29.36,930.96,No
Female,41,No,Yes,45,One year,Credit card,Fiber optic,Yes,No,No,Yes,86.36,3928.95,No
Male,18,No,No,1,Two year,Mailed check,Fiber optic,No,No,Yes,Yes,73.08,80.81,No
Male,58,Yes,Yes,63,Month-to-month,Mailed check,Fiber optic,Yes,No,Yes,No,72.56,4545.15,Yes
Male,52,No,Yes,63,Two year,Credit card,No,Yes,Yes,Yes,Yes,40.13,2519.5,No
Female,57,Yes,No,66,Month-to-month,Mailed check,No,Yes,No,No,Yes,33.09,2192.65,No
Female,64,No,No,12,Month-to-month,Credit card,Fiber optic,No,No,No,No,69.84,833.08,No
Male,47,No,Yes,60,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,66.18,3963.42,No
Male,69,Yes,Yes,44,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,67.29,2975.48,No
Female,40,No,No,10,Month-to-month,Electronic check,No,Yes,No,No,No,18.44,212.45,Yes
Male,51,Yes,No,41,One year,Electronic check,Fiber optic,Yes,No,Yes,Yes,80.29,3316.16,No
Female,27,No,No,34,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,Yes,81.72,2772.52,No
Male,56,Yes,No,45,One year,Electronic check,No,Yes,No,No,No,15.0,671.7,No
Female,34,Yes,Yes,6,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,67.19,396.98,Yes
Male,61,Yes,Yes,40,Two year,Mailed check,Fiber optic,Yes,No,No,No,64.75,2611.22,No
Male,67,Yes,No,48,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,Yes,87.18,4176.89,No
Female,71,Yes,Yes,51,One year,Bank transfer,Fiber optic,Yes,Yes,No,No,81.49,4117.54,No
Male,75,Yes,No,55,One year,Electronic check,Fiber optic,Yes,Yes,No,Yes,72.03,3971.45,No
Female,25,No,No,45,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,Yes,73.07,3298.72,Yes
Female,26,Yes,Yes,50,Month-to-month,Mailed check,No,Yes,No,No,No,33.34,1658.82,No
Female,75,Yes,No,6,Month-to-month,Credit card,Fiber optic,Yes,No,No,No,74.82,486.01,Yes
Female,41,No,Yes,57,Month-to-month,Bank transfer,No,Yes,Yes,No,No,29.71,1682.74,No
Female,19,No,No,26,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,83.57,2201.17,Yes
Male,35,Yes,No,39,Month-to-month,Credit card,No,No,No,No,No,23.16,876.63,No
Male,69,Yes,No,39,One year,Mailed check,Fiber optic,Yes,No,No,No,75.55,2952.11,No
Male,40,No,Yes,70,Month-to-month,Electronic check,Fiber optic,No,No,No,No,65.59,4575.36,No
Female,22,No,No,23,Month-to-month,Credit card,No,Yes,Yes,No,Yes,29.7,681.6,No
Male,62,Yes,No,27,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,93.82,2548.34,Yes
Male,30,No,No,54,Month-to-month,Credit card,No,Yes,Yes,No,No,41.05,2205.2,No
Male,39,Yes,No,45,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,68.3,3059.45,No
Male,18,Yes,Yes,22,One year,Mailed check,DSL,Yes,No,No,No,50.11,1098.03,Yes
Male,55,No,No,24,One year,Electronic check,Fiber optic,Yes,Yes,No,Yes,80.56,2008.63,No
Male,45,No,Yes,59,Month-to-month,Mailed check,No,Yes,No,Yes,No,25.65,1517.68,No
Female,71,No,No,60,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,72.76,4368.38,No
Female,38,Yes,Yes,10,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,No,79.52,803.92,Yes
Female,30,Yes,Yes,28,One year,Electronic check,DSL,Yes,Yes,Yes,Yes,67.53,1856.53,No
Male,28,Yes,No,55,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,78.08,4313.01,No
Female,30,Yes,Yes,8,Two year,Electronic check,No,Yes,No,No,No,25.13,215.29,No
Male,45,Yes,No,13,One year,Mailed check,No,Yes,No,Yes,Yes,39.42,476.77,No
Female,23,Yes,Yes,11,One year,Mailed check,Fiber optic,Yes,Yes,Yes,No,77.17,896.97,Yes
Female,42,Yes,No,38,Month-to-month,Bank transfer,DSL,Yes,Yes,No,Yes,62.17,2362.7,No
Female,70,No,No,32,Two year,Bank transfer,DSL,Yes,Yes,No,Yes,61.64,1950.23,No
Male,65,Yes,No,23,Month-to-month,Mailed check,DSL,No,No,Yes,Yes,55.6,1285.04,No
Male,57,Yes,Yes,9,Month-to-month,Mailed check,No,Yes,No,Yes,No,35.07,297.49,No
Female,73,No,Yes,45,Two year,Electronic check,Fiber optic,Yes,No,No,Yes,73.88,3292.52,No
Male,66,Yes,Yes,58,One year,Mailed check,Fiber optic,Yes,No,Yes,Yes,88.27,5113.94,No
Male,58,No,Yes,15,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,No,80.78,1207.21,Yes
Male,71,Yes,No,47,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,Yes,81.97,3821.15,No
Male,25,Yes,Yes,57,Month-to-month,Credit card,Fiber optic,Yes,No,No,Yes,77.88,4423.56,No
Male,68,No,Yes,40,Two year,Electronic check,No,Yes,Yes,Yes,Yes,42.72,1688.07,No
Male,36,No,Yes,41,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,Yes,78.64,3216.9,Yes
Female,63,No,No,12,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,77.21,939.48,No
Female,74,No,Yes,68,Month-to-month,Bank transfer,No,Yes,No,No,No,25.6,1743.8,No
Female,48,Yes,Yes,68,Two year,Bank transfer,DSL,Yes,Yes,No,No,53.52,3638.8,No
Male,23,No,No,51,One year,Electronic check,No,Yes,No,No,Yes,30.23,1505.26,No
Female,40,No,Yes,64,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,No,68.91,4409.46,No
Male,43,No,No,43,Two year,Mailed check,No,Yes,Yes,Yes,Yes,43.17,1834.5,No
Male,76,Yes,Yes,47,Month-to-month,Mailed check,DSL,Yes,No,Yes,Yes,58.67,2723.06,Yes
Male,76,Yes,No,59,One year,Electronic check,Fiber optic,Yes,No,No,No,67.17,3980.6,No
Male,53,No,No,2,One year,Electronic check,No,Yes,No,No,No,20.67,14.72,No
Female,76,Yes,No,15,Month-to-month,Credit card,No,Yes,Yes,No,No,24.41,368.06,No
Male,45,Yes,No,14,One year,Electronic check,No,Yes,No,Yes,Yes,36.72,504.39,No
Female,43,Yes,No,45,Two year,Electronic check,Fiber optic,Yes,Yes,No,Yes,82.43,3690.17,No
Male,69,Yes,No,17,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,74.66,1293.68,Yes
Female,59,Yes,No,28,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,No,78.55,2187.52,No
Male,50,Yes,No,35,Two year,Bank transfer,Fiber optic,Yes,No,No,No,76.05,2651.0,No
Male,46,Yes,No,53,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,Yes,103.29,5459.8,No
Female,61,Yes,No,37,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,No,75.54,2798.4,Yes
Female,64,No,Yes,1,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,84.54,81.35,Yes
Male,48,Yes,Yes,49,Two year,Electronic check,DSL,No,No,No,Yes,53.4,2602.65,No
Female,19,Yes,No,30,One year,Electronic check,No,Yes,No,No,No,28.24,828.74,No
Male,24,Yes,Yes,8,Two year,Bank transfer,No,Yes,No,Yes,No,24.88,198.2,No
Female,26,Yes,No,46,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,No,59.48,2722.93,No
Female,46,No,Yes,19,Two year,Electronic check,No,Yes,Yes,Yes,Yes,32.43,650.66,No
Male,56,No,No,33,Month-to-month,Electronic check,No,Yes,No,No,Yes,28.88,942.44,No
Female,67,Yes,No,69,One year,Bank transfer,Fiber optic,Yes,Yes,No,No,79.83,5515.25,No
Male,32,Yes,No,17,One year,Mailed check,Fiber optic,Yes,Yes,Yes,No,82.28,1396.89,Yes
Male,66,Yes,No,63,Month-to-month,Bank transfer,No,No,No,No,No,18.05,1131.16,No
Male,59,Yes,Yes,33,One year,Mailed check,Fiber optic,No,No,Yes,No,75.85,2520.94,Yes
Male,21,Yes,Yes,67,Month-to-month,Electronic check,DSL,Yes,No,No,No,51.77,3479.9,No
Female,39,Yes,No,61,Month-to-month,Mailed check,Fiber optic,No,No,Yes,No,66.22,4050.9,No
Male,36,Yes,No,59,One year,Electronic check,Fiber optic,Yes,Yes,No,Yes,82.34,4869.32,No
Male,72,No,No,14,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,Yes,89.16,1215.98,No
Female,75,Yes,No,56,One year,Electronic check,DSL,Yes,No,Yes,No,68.5,3845.04,No
Male,68,Yes,No,26,Month-to-month,Mailed check,DSL,Yes,Yes,No,No,52.6,1362.71,Yes
Female,50,Yes,No,65,Month-to-month,Credit card,No,Yes,No,Yes,Yes,48.47,3140.22,No
Male,48,Yes,No,71,One year,Mailed check,Fiber optic,Yes,No,No,No,67.98,4895.51,No
Female,37,Yes,No,44,Month-to-month,Electronic check,No,Yes,Yes,No,Yes,46.63,2022.35,No
Female,65,Yes,Yes,65,Two year,Credit card,Fiber optic,Yes,No,Yes,No,75.03,4874.82,No
Female,23,Yes,Yes,38,Two year,Electronic check,No,Yes,No,Yes,No,36.21,1372.68,No
Male,34,Yes,No,2,Month-to-month,Bank transfer,DSL,No,No,No,No,46.43,91.23,Yes
Male,26,No,No,62,Month-to-month,Electronic check,No,Yes,No,No,Yes,39.45,2425.55,No
Female,48,No,No,38,Month-to-month,Credit card,No,Yes,No,Yes,No,39.77,1515.92,No
Male,36,Yes,Yes,3,One year,Electronic check,Fiber optic,Yes,No,Yes,Yes,79.79,216.89,No
Female,30,Yes,Yes,4,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,71.32,290.95,Yes
Male,41,No,No,52,Two year,Credit card,No,Yes,No,No,Yes,42.63,2219.98,No
Female,71,No,Yes,66,Two year,Mailed check,Fiber optic,Yes,No,No,Yes,77.5,5109.82,No
Female,52,Yes,No,50,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,82.07,4102.03,Yes
Male,69,Yes,Yes,31,One year,Electronic check,Fiber optic,Yes,No,Yes,Yes,79.65,2500.78,No
Male,74,Yes,No,22,Month-to-month,Electronic check,No,No,No,No,No,18.77,424.51,No
Female,73,No,No,30,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,No,74.46,2237.16,Yes
Male,39,Yes,Yes,23,Month-to-month,Mailed check,Fiber optic,Yes,No,No,Yes,81.63,1885.98,Yes
Female,72,Yes,Yes,19,One year,Mailed check,Fiber optic,No,No,Yes,Yes,83.69,1590.88,No
Male,74,Yes,Yes,9,Month-to-month,Credit card,DSL,Yes,Yes,No,Yes,66.12,606.11,No
Female,77,Yes,Yes,40,Two year,Bank transfer,No,No,No,No,No,15.0,587.88,No
Female,39,Yes,Yes,15,Month-to-month,Credit card,No,Yes,No,No,Yes,34.74,565.36,Yes
Male,32,No,No,10,One year,Mailed check,Fiber optic,Yes,No,Yes,Yes,85.1,854.77,Yes
Female,54,Yes,Yes,19,Two year,Mailed check,Fiber optic,Yes,No,Yes,Yes,72.78,1439.28,No
Male,75,Yes,No,57,One year,Mailed check,Fiber optic,Yes,No,No,Yes,79.32,4565.35,No
Female,73,Yes,Yes,41,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,63.46,2591.79,No
Male,53,No,No,35,Month-to-month,Electronic check,No,Yes,No,No,Yes,39.85,1399.67,Yes
Male,27,Yes,No,42,Month-to-month,Credit card,Fiber optic,Yes,No,No,Yes,76.82,3233.89,Yes
Male,44,Yes,No,40,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,Yes,89.15,3584.59,Yes
Male,62,Yes,No,35,Two year,Electronic check,DSL,Yes,Yes,Yes,Yes,70.73,2478.07,No
Male,52,No,Yes,60,Month-to-month,Mailed check,DSL,Yes,No,No,No,46.2,2796.1,No
Female,39,No,No,52,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,75.52,3891.68,Yes
Male,39,No,Yes,13,One year,Mailed check,DSL,Yes,No,No,Yes,56.76,725.69,No
Female,21,No,No,58,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,71.82,4161.81,Yes
Male,35,Yes,No,12,Two year,Credit card,No,Yes,No,Yes,No,33.44,387.96,No
Male,59,Yes,No,5,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,No,70.91,319.92,Yes
Female,32,Yes,No,30,Month-to-month,Mailed check,No,No,No,Yes,No,29.06,889.55,No
